0.8527,0.733,0.2684,0.1462,0.2684,0.733,0.8527
0.122,0.2441,0.2441,0.122,0.0,0.0,0.122
0.878,1.0,1.0,0.878,0.7559,0.7559,0.878
0.1448,0.2645,0.6189,0.7411,0.6189,0.2645,0.1448
0.878,1.0,1.0,0.878,0.7559,0.7559,0.878
0.7909,0.9107,1.265,1.3872,1.265,0.9107,0.7909
0.8527,0.733,0.2684,0.1462,0.2684,0.733,0.8527
1.4099,1.5319,1.5319,1.4099,1.2879,1.2879,1.4099
0.122,0.2441,0.2441,0.122,0.0,0.0,0.122
0.7909,0.9107,1.265,1.3872,1.265,0.9107,0.7909
0.122,0.2441,0.2441,0.122,0.0,0.0,0.122
0.1448,0.2645,0.6189,0.7411,0.6189,0.2645,0.1448
0.8527,0.733,0.2684,0.1462,0.2684,0.733,0.8527
0.7638,0.8858,0.8858,0.7638,0.6417,0.6417,0.7638
